"Time range","Instance Id","Deployment name","SKU Name","Display name","Usage type","Quantity","Display quantity","Unit","Unit price","Total","Product family"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datafrozen.n2.68x10x90_gcp-us-central1_16384_1","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datafrozen.n2.68x10x90, 16GB, 1AZ","RAM Hours","24","24","hour","0.9184","22.0416","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datahot.n2.68x10x45_gcp-us-central1_8192_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datahot.n2.68x10x45, 8GB, 2AZ","RAM Hours","24","24","hour","0.8944","21.4656","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.es.datawarm.n2.68x10x190_gcp-us-central1_16384_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.es.datawarm.n2.68x10x190, 16GB, 2AZ","RAM Hours","24","24","hour","2.288","54.912","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","Cloud-Enterprise_gcp.kibana.n2.68x32x45_gcp-us-central1_2048_2","Cloud Enterprise, GCP us-central1 (Iowa), gcp.kibana.n2.68x32x45, 2GB, 2AZ","RAM Hours","24","24","hour","0.2804","6.7296","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-in","GCP Data Transfer In","data-transfer-in","72.56338143441826105117797852","72.56338143441826105117797852","GB","0","0","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-out","GCP Data Transfer Out","data-transfer-out","2.158527312800288200378417969","2.158527312800288200378417969","GB","0.05","0.1079","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.data-transfer-inter-node","GCP Data Transfer Inter-Node","data-transfer-inter-node","289.3106178361922502517700195","289.3106178361922502517700195","GB","0.016","4.629","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.snapshot-storage","GCP Snapshot Storage","snapshot-storage","279.9121719509180414900984815","279.9121719509180414900984815","GB","0.033","9.2371","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","gcp.snapshot-api-1k","GCP Snapshot Storage API","snapshot-api-1k","272","272","1000 API Calls","0.0018","0.4896","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","global.synthetics-browser","Synthetics Browser","synthetics-browser","0","0","test","0.0123","0","deployment"
"2025-10-28 - 2025-10-28","177d58a0b4254e949827caa4e53b9bcf","Sunflower","global.synthetics-lightweight","Synthetics Lightweight","synthetics-lightweight","0","0","region","28","0","deployment"
"2025-10-28 - 2025-10-28","22b008e570b04dd2ac2689f01a009ef8","Moriah","Cloud-Enterprise_gcp.integrationsserver.n2.68x32x45.2_gcp-us-central1_1024_1","Cloud Enterprise, GCP us-central1 (Iowa), gcp.integrationsserver.n2.68x32x45.2, 1GB, 1AZ","RAM Hours","24","24","hour","0","0","deployment"
